name,brand,city,country,region,category,off_peak_points,standard_points,peak_points,hotel_url,all_inclusive,notes
Hyatt Place Edmonton-West,Hyatt Place,Edmonton,Canada,americas,1,,,,,false,
Hyatt Place Prince George,Hyatt Place,Prince George,Canada,americas,1,,,,,false,
Hyatt Place Moncton / Downtown,Hyatt Place,Moncton,Canada,americas,1,,,,,false,
Hyatt Place Windsor,Hyatt Place,Windsor,Canada,americas,1,,,,,false,
Hyatt Studios Mobile / Tillmans Corner,Hyatt Studios,Mobile,United States,americas,1,,,,,false,
Hyatt Place Tucson-Central,Hyatt Place,Tucson,United States,americas,1,,,,,false,
Hyatt Place Atlanta Airport-North,Hyatt Place,Atlanta,United States,americas,1,,,,,false,
Hyatt Place Atlanta Airport-South,Hyatt Place,Atlanta,United States,americas,1,,,,,false,
Hyatt Place Atlanta/Duluth/Johns Creek,Hyatt Place,Duluth,United States,americas,1,,,,,false,
Hyatt Place Atlanta/Norcross/Peachtree,Hyatt Place,Norcross,United States,americas,1,,,,,false,
Hyatt Place Columbus-North,Hyatt Place,Columbus,United States,americas,1,,,,,false,Georgia
Hyatt House Chicago/Naperville/Warrenville,Hyatt House,Naperville,United States,americas,1,,,,,false,
Hyatt House Chicago/Schaumburg,Hyatt House,Schaumburg,United States,americas,1,,,,,false,
Hyatt House East Moline / Quad Cities,Hyatt House,East Moline,United States,americas,1,,,,,false,
Hyatt Place Chicago/Hoffman Estates,Hyatt Place,Hoffman Estates,United States,americas,1,,,,,false,
Hyatt Place Chicago/Itasca,Hyatt Place,Itasca,United States,americas,1,,,,,false,
Hyatt Place Chicago/Naperville/Warrenville,Hyatt Place,Naperville,United States,americas,1,,,,,false,
Hyatt Place Chicago/Schaumburg,Hyatt Place,Schaumburg,United States,americas,1,,,,,false,
Hyatt Place East Moline / Quad Cities,Hyatt Place,East Moline,United States,americas,1,,,,,false,
Hyatt Regency Lisle near Naperville,Hyatt Regency,Lisle,United States,americas,1,,,,,false,
"Hyatt Regency Schaumburg, Chicago",Hyatt Regency,Schaumburg,United States,americas,1,,,,,false,
Hyatt Place Fort Wayne – Northwest,Hyatt Place,Fort Wayne,United States,americas,1,,,,,false,
Hyatt Place at Wichita State University,Hyatt Place,Wichita,United States,americas,1,,,,,false,
Hyatt Place Topeka,Hyatt Place,Topeka,United States,americas,1,,,,,false,
