name,brand,city,country,region,category,off_peak_points,standard_points,peak_points,hotel_url,all_inclusive,notes
Hyatt House Anchorage,Hyatt House,Anchorage,United States,americas,4,,,,,false,moving from cat 3 to cat 4 on 2026-05-20
Hyatt Place Tucson-Central,Hyatt Place,Tucson,United States,americas,2,,,,,false,moving from cat 1 to cat 2 on 2026-05-20
Hyatt Centric Delfina Santa Monica,Hyatt Centric,Santa Monica,United States,americas,5,,,,,false,moving from cat 6 to cat 5 on 2026-05-20
Andaz West Hollywood,Andaz,West Hollywood,United States,americas,5,,,,,false,moving from cat 6 to cat 5 on 2026-05-20
Hotel Figueroa,Hotel Figueroa,Los Angeles,United States,americas,5,,,,,false,moving from cat 4 to cat 5 on 2026-05-20
Hyatt Place Santa Barbara,Hyatt Place,Santa Barbara,United States,americas,5,,,,,false,moving from cat 6 to cat 5 on 2026-05-20
The Laurel Inn,The Laurel Inn,San Jose,United States,americas,6,,,,,false,moving from cat 5 to cat 6 on 2026-05-20
Hyatt Place Santa Cruz,Hyatt Place,Santa Cruz,United States,americas,5,,,,,false,moving from cat 4 to cat 5 on 2026-05-20
Hyatt Centric Downtown Denver,Hyatt Centric,Denver,United States,americas,3,,,,,false,moving from cat 4 to cat 3 on 2026-05-20
Hyatt Regency Greenwich,Hyatt Regency,Greenwich,United States,americas,4,,,,,false,moving from cat 3 to cat 4 on 2026-05-20
Hyatt Regency Coral Gables,Hyatt Regency,Coral Gables,United States,americas,5,,,,,false,moving from cat 4 to cat 5 on 2026-05-20
Hyatt Centric Las Olas Fort Lauderdale,Hyatt Centric,Fort Lauderdale,United States,americas,5,,,,,false,moving from cat 4 to cat 5 on 2026-05-20
Hyatt House Orlando International,Hyatt House,Orlando,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Orlando/I-Drive/Convention Center,Hyatt Place,Orlando,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Across From Universal Orlando Resort,Hyatt Place,Orlando,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Sarasota/Bradenton Airport,Hyatt Place,Sarasota,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Sarasota/Lakewood Ranch,Hyatt Place,Sarasota,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Tampa/Busch Gardens,Hyatt Place,Tampa,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Tampa/Wesley Chapel,Hyatt Place,Tampa,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Place Lakeland Center,Hyatt Place,Lakeland,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
Hyatt Regency Grand Cypress Resort,Hyatt Regency,Orlando,United States,americas,5,,,,,false,moving from cat 4 to cat 5 on 2026-05-20
Hyatt Lodge Oak Brook Chicago,Hyatt Lodge,Oak Brook,United States,americas,3,,,,,false,moving from cat 2 to cat 3 on 2026-05-20
